"last_name, first_name",Handedness (batting),player_id,Year,Ab,Pa,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,Xslg,woba,Xwoba,avg_swing_speed,exit_velocity_avg,laungh_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,batted_ball,f_strike_percent,groundballs_percent,linedrives_percent
"Soto, Juan",Left,665742,2024,543,671,40,110,16.4,18,0.287,0.576,0.417,0.993,0.320,0.666,0.422,0.466,75.5,94.1,10.5,35.2,20.1,56.7,105.557636574,97.933218794,21.9,37.2,437,54,45.1,22.2
"Pasquantino, Vinnie",Left,686469,2024,496,554,19,71,12.8,7.2,0.262,0.446,0.315,0.761,0.266,0.443,0.324,0.331,71.7,91,14.6,31.9,7.1,46.5,100.997993151,94.970921142,14.5,47.8,439,59.9,40.3,23.5
"Santander, Anthony",Switch,623993,2024,557,621,41,123,19.8,8.4,0.239,0.510,0.309,0.819,0.235,0.465,0.347,0.332,73.2,89.9,23,36.2,12.1,42.6,100.454206119,94.442886073,19.7,49.9,439,62,29.6,22.1
"Contreras, William",Right,661388,2024,566,644,22,129,20,11.2,0.281,0.470,0.363,0.833,0.274,0.491,0.359,0.364,74.7,92.8,6.4,29.1,10.2,50,104.023379227,96.726035477,27,47.5,440,61.2,53.6,21.4
"Carroll, Corbin",Left,682998,2024,550,635,19,118,18.6,10.2,0.233,0.425,0.321,0.746,0.249,0.399,0.324,0.327,73.6,89.1,11.5,28.1,6.6,39.6,100.794549954,94.58319828,20.2,41.4,442,56.5,45,21.7
"Rutschman, Adley",Switch,668939,2024,531,596,19,96,16.1,9.4,0.252,0.397,0.322,0.719,0.260,0.406,0.313,0.322,69.1,88.1,18.9,36,6.3,36.2,98.064321674,93.114542262,17.4,44,442,58.8,34.8,25.6
"Henderson, Gunnar",Left,683002,2024,590,674,37,148,22,11,0.280,0.539,0.365,0.904,0.290,0.513,0.385,0.382,76.3,92.8,9,34.4,11.7,53.5,103.953314189,96.798328131,23.9,44.2,445,55.6,47.4,24.3
"Profar, Jurickson",Switch,595777,2024,531,630,23,94,14.9,11.7,0.284,0.465,0.387,0.852,0.284,0.449,0.370,0.367,71.8,91.1,13.1,31.7,7.2,44.7,100.98904,94.899394027,16.8,45.2,445,59.6,43.1,24
"Machado, Manny",Right,592518,2024,558,605,27,113,18.7,6.9,0.278,0.475,0.327,0.802,0.278,0.469,0.341,0.341,75.2,92.5,12.4,34.1,10.9,48.8,103.364531076,96.14941426,23.7,51.4,449,63.3,43.7,27.2
"Díaz, Yandy",Right,650490,2024,541,594,14,91,15.3,7.7,0.283,0.418,0.340,0.758,0.282,0.434,0.331,0.338,73.2,92.4,4.6,28.9,7.7,49.3,103.413868142,96.292975588,14.1,44.2,454,58.8,55.7,21.4
